stPoint: 9, ndPoint: 9, Hue: 9
stPoint: 10, ndPoint: 10, Hue: 10
stPoint: 11, ndPoint: 11, Hue: 11
stPoint: 12, ndPoint: 12, Hue: 12
stPoint: 13, ndPoint: 13, Hue: 13
stPoint: 14, ndPoint: 14, Hue: 14
stPoint: 15, ndPoint: 15, Hue: 15
stPoint: 16, ndPoint: 16, Hue: 16
stPoint: 17, ndPoint: 17, Hue: 17
stPoint: 18, ndPoint: 18, Hue: 18
stPoint: 19, ndPoint: 19, Hue: 19
stPoint: 20, ndPoint: 20, Hue: 20
stPoint: 21, ndPoint: 21, Hue: 21
stPoint: 22, ndPoint: 22, Hue: 22
stPoint: 23, ndPoint: 23, Hue: 23
stPoint: 24, ndPoint: 24, Hue: 24
stPoint: 25, ndPoint: 25, Hue: 25
stPoint: 26, ndPoint: 26, Hue: 26
stPoint: 27, ndPoint: 27, Hue: 27
stPoint: 28, ndPoint: 28, Hue: 28
stPoint: 29, ndPoint: 29, Hue: 29
stPoint: 30, ndPoint: 30, Hue: 30
stPoint: 31, ndPoint: 31, Hue: 31
stPoint: 32, ndPoint: 32, Hue: 32
stPoint: 33, ndPoint: 33, Hue: 33
stPoint: 34, ndPoint: 34, Hue: 34
stPoint: 35, ndPoint: 35, Hue: 35
stPoint: 36, ndPoint: 36, Hue: 36
stPoint: 37, ndPoint: 37, Hue: 37
stPoint: 38, ndPoint: 38, Hue: 38
stPoint: 39, ndPoint: 39, Hue: 39
stPoint: 40, ndPoint: 40, Hue: 40
stPoint: 41, ndPoint: 41, Hue: 41
stPoint: 42, ndPoint: 42, Hue: 42
stPoint: 43, ndPoint: 43, Hue: 43
stPoint: 44, ndPoint: 44, Hue: 44
stPoint: 45, ndPoint: 45, Hue: 45
stPoint: 46, ndPoint: 46, Hue: 46
stPoint: 47, ndPoint: 47, Hue: 47
stPoint: 48, ndPoint: 48, Hue: 48
stPoint: 49, ndPoint: 49, Hue: 49
stPoint: 50, ndPoint: 50, Hue: 50
stPoint: 51, ndPoint: 51, Hue: 51
stPoint: 52, ndPoint: 52, Hue: 52
stPoint: 53, ndPoint: 53, Hue: 53
stPoint: 54, ndPoint: 54, Hue: 54
stPoint: 55, ndPoint: 55, Hue: 55
stPoint: 56, ndPoint: 56, Hue: 56
stPoint: 57, ndPoint: 57, Hue: 57
stPoint: 58, ndPoint: 58, Hue: 58
stPoint: 59, ndPoint: 59, Hue: 59
stPoint: 60, ndPoint: 60, Hue: 60
stPoint: 61, ndPoint: 61, Hue: 61
stPoint: 62, ndPoint: 62, Hue: 62
stPoint: 63, ndPoint: 63, Hue: 63
stPoint: 64, ndPoint: 64, Hue: 64
stPoint: 65, ndPoint: 65, Hue: 65
stPoint: 66, ndPoint: 66, Hue: 66
stPoint: 67, ndPoint: 67, Hue: 67
stPoint: 68, ndPoint: 68, Hue: 68
stPoint: 69, ndPoint: 69, Hue: 69
stPoint: 70, ndPoint: 70, Hue: 70
stPoint: 71, ndPoint: 71, Hue: 71
stPoint: 72, ndPoint: 72, Hue: 72
stPoint: 73, ndPoint: 73, Hue: 73
stPoint: 74, ndPoint: 74, Hue: 74
stPoint: 75, ndPoint: 75, Hue: 75
stPoint: 76, ndPoint: 76, Hue: 76
stPoint: 77, ndPoint: 77, Hue: 77
stPoint: 78, ndPoint: 78, Hue: 78
stPoint: 79, ndPoint: 79, Hue: 79
stPoint: 80, ndPoint: 80, Hue: 80
stPoint: 81, ndPoint: 81, Hue: 81
stPoint: 82, ndPoint: 82, Hue: 82
stPoint: 83, ndPoint: 83, Hue: 83
stPoint: 84, ndPoint: 84, Hue: 84
stPoint: 85, ndPoint: 85, Hue: 85
stPoint: 86, ndPoint: 86, Hue: 86
stPoint: 87, ndPoint: 87, Hue: 87
stPoint: 88, ndPoint: 88, Hue: 88
stPoint: 89, ndPoint: 89, Hue: 89
stPoint: 90, ndPoint: 90, Hue: 90
stPoint: 91, ndPoint: 91, Hue: 91
stPoint: 92, ndPoint: 92, Hue: 92
stPoint: 93, ndPoint: 93, Hue: 93
stPoint: 94, ndPoint: 94, Hue: 94
